"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"12.10.2020","453,60","459,00","459,00","452,00","3,01M","-1,18%"
"09.10.2020","459,00","455,30","460,20","451,50","3,70M","-1,18%"
"08.10.2020","464,50","469,20","473,50","461,10","3,45M","-0,77%"
"07.10.2020","468,10","476,80","479,70","461,60","5,22M","-0,93%"
"06.10.2020","472,50","473,10","486,70","464,90","6,65M","-0,21%"
"05.10.2020","473,50","455,50","474,00","455,40","4,35M","4,50%"
"02.10.2020","453,10","454,00","456,50","449,50","3,01M","-1,18%"
"01.10.2020","458,50","466,50","468,00","457,30","3,01M","-1,10%"
"30.09.2020","463,60","462,10","469,40","460,80","3,59M","-0,24%"
"29.09.2020","464,70","474,80","478,40","461,10","4,48M","-2,07%"
"28.09.2020","474,50","464,50","479,90","456,60","7,10M","2,26%"
"25.09.2020","464,00","469,90","470,80","457,40","4,88M","-0,75%"
"24.09.2020","467,50","460,00","471,40","448,70","9,30M","1,63%"
"23.09.2020","460,00","479,90","480,10","460,00","6,44M","-4,11%"
"22.09.2020","479,70","478,80","482,80","469,20","7,09M","-0,21%"
"21.09.2020","480,70","506,80","506,80","475,70","9,27M","-5,34%"
"18.09.2020","507,80","518,10","520,00","503,80","7,36M","-1,86%"
"17.09.2020","517,40","527,00","529,70","508,10","10,18M","-2,63%"
"16.09.2020","531,40","554,00","557,50","516,10","10,46M","-3,87%"
"15.09.2020","552,80","538,10","553,10","537,20","2,92M","2,58%"
"14.09.2020","538,90","539,00","547,60","536,30","3,03M","0,24%"
"11.09.2020","537,60","528,00","537,60","527,00","2,47M","1,82%"
"10.09.2020","528,00","530,50","531,10","522,30","2,27M","-0,32%"
"09.09.2020","529,70","519,70","531,30","519,70","2,64M","1,11%"
"08.09.2020","523,90","534,00","534,70","519,10","3,24M","-1,87%"
"07.09.2020","533,90","534,40","538,30","531,60","1,30M","-0,47%"
"04.09.2020","536,40","532,90","540,40","529,30","2,95M","0,71%"
"03.09.2020","532,60","541,10","544,60","529,20","4,75M","-2,28%"
"02.09.2020","545,00","552,20","553,50","541,40","3,58M","-0,82%"
"01.09.2020","549,50","549,90","550,80","543,10","3,14M","0,31%"
"31.08.2020","547,80","557,10","561,20","544,50","4,13M","-1,62%"
"28.08.2020","556,80","561,60","561,90","553,30","2,14M","-0,82%"
"27.08.2020","561,40","572,00","574,00","560,00","2,39M","-1,78%"
"26.08.2020","571,60","570,10","574,60","563,20","2,43M","0,11%"
"25.08.2020","571,00","573,00","575,00","565,20","1,84M","0,05%"
"24.08.2020","570,70","568,00","573,70","565,50","2,17M","0,81%"
"21.08.2020","566,10","574,90","577,30","555,10","3,61M","-1,17%"
"20.08.2020","572,80","589,00","589,70","562,50","4,19M","-3,06%"
"19.08.2020","590,90","598,60","598,60","583,00","2,26M","-1,12%"
"18.08.2020","597,60","599,00","611,20","594,40","3,38M","-0,42%"
"17.08.2020","600,10","611,90","616,40","596,30","3,63M","-1,38%"
"14.08.2020","608,50","609,50","612,00","600,00","3,05M","0,60%"
"13.08.2020","604,90","604,80","615,60","598,00","4,37M","-0,12%"
"12.08.2020","605,60","582,00","608,40","582,00","6,69M","4,23%"
"11.08.2020","581,00","561,90","590,00","560,20","5,65M","3,79%"
"10.08.2020","559,80","560,10","564,00","555,40","2,69M","0,07%"
"07.08.2020","559,40","559,10","562,20","554,00","1,59M","-0,36%"
"06.08.2020","561,40","562,20","562,60","556,20","2,66M","0,54%"
"05.08.2020","558,40","547,00","562,50","545,30","3,42M","2,12%"
"04.08.2020","546,80","545,60","548,80","541,50","2,03M","-0,07%"
"03.08.2020","547,20","550,80","553,80","543,90","2,61M","-1,35%"
"31.07.2020","554,70","558,00","559,30","550,30","1,72M","-0,66%"
"30.07.2020","558,40","560,00","563,70","552,40","2,02M","-0,82%"
"29.07.2020","563,00","557,50","564,80","555,60","1,93M","1,08%"
"28.07.2020","557,00","562,00","563,00","554,40","1,92M","-0,70%"
"27.07.2020","560,90","566,80","567,10","556,60","2,30M","-0,67%"
"24.07.2020","564,70","558,50","565,30","557,00","1,54M","1,02%"
"23.07.2020","559,00","564,90","568,40","558,20","2,15M","-0,34%"
"22.07.2020","560,90","561,80","564,30","556,60","1,93M","0,09%"
"21.07.2020","560,40","558,00","566,70","556,60","3,03M","0,99%"
"20.07.2020","554,90","549,90","556,40","546,40","2,28M","0,73%"
"17.07.2020","550,90","550,90","555,00","545,00","2,08M","-0,49%"
"16.07.2020","553,60","550,00","556,20","548,20","1,61M","0,05%"
"15.07.2020","553,30","550,00","555,70","546,40","2,79M","0,99%"
"14.07.2020","547,90","545,90","548,10","534,20","2,91M","0,26%"
"13.07.2020","546,50","563,70","566,60","544,50","2,12M","-2,88%"
"10.07.2020","562,70","548,80","563,00","543,40","3,50M","1,85%"
"09.07.2020","552,50","561,90","562,10","549,20","3,01M","-1,44%"
"08.07.2020","560,60","566,70","567,10","556,50","2,27M","-0,87%"
"07.07.2020","565,50","567,30","572,30","560,00","2,62M","-0,89%"
"06.07.2020","570,60","576,00","579,80","567,00","3,25M","0,46%"
"03.07.2020","568,00","569,10","569,10","563,10","1,60M","0,09%"
"02.07.2020","567,50","562,10","569,40","558,80","3,20M","2,01%"
"30.06.2020","556,30","566,80","568,80","552,00","4,30M","-2,13%"
"29.06.2020","568,40","570,00","572,10","561,30","3,02M","-0,73%"
"26.06.2020","572,60","583,00","586,00","566,10","3,58M","-2,07%"
"25.06.2020","584,70","577,90","584,80","570,00","3,78M","-0,66%"
"23.06.2020","588,60","593,20","594,50","586,10","3,30M","-0,08%"
"22.06.2020","589,10","582,00","592,50","574,80","3,48M","0,44%"
"19.06.2020","586,50","580,00","593,70","578,00","7,88M","1,82%"
"18.06.2020","576,00","566,50","579,20","560,50","4,90M","1,87%"
"17.06.2020","565,40","582,50","590,20","565,40","6,25M","-2,69%"
"16.06.2020","581,00","591,20","596,10","576,50","5,69M","-0,10%"
"15.06.2020","581,60","564,60","582,80","551,40","4,80M","0,80%"
"11.06.2020","577,00","586,40","587,20","571,00","5,32M","-3,17%"
"10.06.2020","595,90","592,00","599,40","581,20","7,61M","1,60%"
"09.06.2020","586,50","580,00","589,70","575,00","5,82M","1,40%"
"08.06.2020","578,40","575,00","597,40","570,50","7,83M","1,49%"
"05.06.2020","569,90","565,00","574,00","561,10","4,72M","1,91%"
"04.06.2020","559,20","567,70","567,70","555,40","5,55M","-1,72%"
"03.06.2020","569,00","565,00","571,00","501,20","9,14M","1,59%"
"02.06.2020","560,10","548,40","560,20","546,40","5,76M","3,24%"
"01.06.2020","542,50","545,00","552,70","541,30","7,29M","1,97%"
"29.05.2020","532,00","562,90","562,90","532,00","21,34M","-5,84%"
"28.05.2020","565,00","568,20","569,70","555,30","4,26M","0,93%"
"27.05.2020","559,80","557,10","572,20","546,20","4,98M","-0,02%"
"26.05.2020","559,90","568,00","575,40","559,30","4,53M","0,52%"
"25.05.2020","557,00","549,00","565,00","547,90","1,87M","2,39%"
"22.05.2020","544,00","530,00","548,10","529,20","3,78M","0,74%"
"21.05.2020","540,00","564,20","575,00","537,90","6,84M","-4,68%"
"20.05.2020","566,50","544,50","568,50","538,30","5,87M","3,07%"
"19.05.2020","549,60","552,30","558,30","544,60","4,70M","0,11%"
"18.05.2020","549,00","523,70","552,50","523,30","6,53M","6,77%"
"15.05.2020","514,20","529,00","535,60","514,20","4,68M","-1,61%"
"14.05.2020","522,60","516,70","524,50","508,20","5,09M","0,93%"
"13.05.2020","517,80","540,00","540,60","516,00","4,88M","-4,45%"
"12.05.2020","541,90","545,90","547,30","539,30","3,61M","-0,84%"
"08.05.2020","546,50","546,00","549,50","538,30","2,10M","0,46%"
"07.05.2020","544,00","544,00","549,00","539,20","3,97M","0,46%"
"06.05.2020","541,50","555,70","559,90","538,20","5,14M","-1,83%"
"05.05.2020","551,60","556,60","563,40","547,60","3,73M","1,23%"
"04.05.2020","544,90","540,00","551,40","529,00","4,62M","-0,93%"
"30.04.2020","550,00","566,00","576,90","546,70","9,80M","-1,54%"
"29.04.2020","558,60","537,00","559,00","532,40","6,36M","5,44%"
"28.04.2020","529,80","513,00","538,00","511,50","5,69M","2,54%"
"27.04.2020","516,70","520,00","527,90","514,00","3,72M","-1,00%"
"24.04.2020","521,90","529,00","530,90","514,00","5,34M","-1,94%"
"23.04.2020","532,20","524,60","539,40","510,80","8,61M","3,46%"
"22.04.2020","514,40","465,00","521,00","465,00","12,59M","7,91%"
"21.04.2020","476,70","473,20","486,00","455,50","11,85M","-2,40%"
"20.04.2020","488,40","508,50","523,50","480,60","10,80M","-5,42%"
"17.04.2020","516,40","522,10","527,50","513,40","6,10M","1,18%"
"16.04.2020","510,40","512,70","526,90","491,60","11,30M","-0,04%"
"15.04.2020","510,60","547,60","548,10","503,30","9,63M","-7,93%"
"14.04.2020","554,60","591,00","597,70","547,10","6,64M","-5,52%"
"13.04.2020","587,00","597,80","601,00","581,70","2,59M","-2,39%"
"10.04.2020","601,40","601,30","601,80","590,00","1,47M","-0,79%"
"09.04.2020","606,20","603,40","610,00","586,00","7,17M","1,37%"
"08.04.2020","598,00","583,80","598,00","574,80","4,70M","2,47%"
"07.04.2020","583,60","621,00","624,80","575,20","7,57M","-4,16%"
"06.04.2020","608,90","608,00","613,80","594,60","3,53M","1,38%"
"03.04.2020","600,60","585,10","629,50","578,10","7,28M","2,67%"
"02.04.2020","585,00","574,00","587,70","550,00","8,88M","7,54%"
"01.04.2020","544,00","538,80","545,30","532,00","4,14M","-1,56%"
"31.03.2020","552,60","533,00","558,30","531,70","5,24M","5,90%"
"30.03.2020","521,80","519,30","528,80","500,00","4,07M","-1,55%"
"27.03.2020","530,00","563,00","567,00","514,40","5,77M","-5,36%"
"26.03.2020","560,00","558,00","572,40","544,30","4,78M","-0,39%"
"25.03.2020","562,20","576,00","589,50","534,80","9,34M","0,18%"
"24.03.2020","561,20","550,30","581,80","531,50","8,61M","11,39%"
"23.03.2020","503,80","475,00","527,90","470,00","8,20M","-2,29%"
"20.03.2020","515,60","470,20","542,50","470,20","13,53M","13,09%"
"19.03.2020","455,90","387,10","457,40","372,00","10,63M","18,42%"
"18.03.2020","385,00","408,00","418,00","382,70","8,83M","-8,79%"
"17.03.2020","422,10","442,90","451,70","402,10","7,57M","-4,57%"
"16.03.2020","442,30","445,10","458,00","426,00","7,63M","-3,58%"
"13.03.2020","458,70","469,90","500,60","458,70","9,10M","-2,36%"
"12.03.2020","469,80","508,00","508,00","460,50","7,99M","-10,97%"
"11.03.2020","527,70","539,00","558,10","521,30","5,37M","-0,43%"
"10.03.2020","530,00","592,70","612,90","527,60","10,70M","-19,51%"
"06.03.2020","658,50","684,00","689,00","653,10","4,71M","-5,42%"
"05.03.2020","696,20","703,90","705,20","684,60","2,95M","0,13%"
"04.03.2020","695,30","672,50","696,30","668,00","3,80M","1,85%"
"03.03.2020","682,70","681,30","694,40","677,10","4,18M","2,22%"
"02.03.2020","667,90","698,00","698,00","664,10","5,14M","-0,55%"
"28.02.2020","671,60","679,40","684,40","625,10","7,84M","-2,89%"
"27.02.2020","691,60","718,00","723,30","691,60","3,51M","-4,51%"
"26.02.2020","724,30","718,00","733,00","714,50","4,53M","0,40%"
"25.02.2020","721,40","744,20","747,70","721,00","3,81M","-4,45%"
"21.02.2020","755,00","759,00","763,00","755,00","1,20M","-1,19%"
"20.02.2020","764,10","768,00","771,80","764,10","1,68M","-0,17%"
"19.02.2020","765,40","755,00","767,80","755,00","1,78M","1,94%"
"18.02.2020","750,80","764,80","764,80","750,80","1,60M","-2,00%"
"17.02.2020","766,10","763,50","768,80","762,90","1,07M","0,39%"
"14.02.2020","763,10","764,00","767,90","759,20","1,50M","0,01%"
"13.02.2020","763,00","765,10","766,70","758,30","2,11M","-0,68%"
"12.02.2020","768,20","755,50","770,00","753,00","4,31M","1,92%"
"11.02.2020","753,70","747,70","757,20","745,70","2,12M","1,71%"
"10.02.2020","741,00","753,00","753,00","738,20","2,26M","-1,46%"
"07.02.2020","752,00","763,10","766,90","748,20","2,56M","-1,43%"
"06.02.2020","762,90","770,20","775,30","760,70","2,83M","-0,31%"
"05.02.2020","765,30","766,10","775,20","754,00","3,84M","0,13%"
"04.02.2020","764,30","753,50","768,60","747,00","3,75M","1,69%"
"03.02.2020","751,60","757,00","762,10","749,00","3,14M","-1,24%"
"31.01.2020","761,00","784,00","788,00","761,00","2,51M","-2,06%"
"30.01.2020","777,00","777,90","784,00","770,10","1,56M","-0,38%"
"29.01.2020","780,00","785,70","791,90","777,60","1,87M","0,13%"
"28.01.2020","779,00","781,30","788,20","773,30","1,76M","-0,10%"
"27.01.2020","779,80","786,30","791,80","776,60","1,72M","-2,00%"
"24.01.2020","795,70","802,00","809,30","794,00","1,37M","-0,54%"
"23.01.2020","800,00","814,00","817,00","796,20","2,48M","-2,20%"
"22.01.2020","818,00","827,20","828,80","813,30","1,76M","-0,85%"
"21.01.2020","825,00","825,40","829,00","819,30","1,97M","-0,60%"
"20.01.2020","830,00","812,20","837,40","810,40","2,37M","2,52%"
"17.01.2020","809,60","811,00","814,00","807,00","1,80M","0,09%"
"16.01.2020","808,90","809,00","815,40","805,00","1,57M","0,24%"
"15.01.2020","807,00","809,90","815,50","802,00","2,20M","-0,57%"
"14.01.2020","811,60","807,00","815,90","802,50","2,32M","0,69%"
"13.01.2020","806,00","799,00","807,00","796,00","1,95M","0,62%"
"10.01.2020","801,00","807,00","808,80","800,10","1,52M","-0,71%"
"09.01.2020","806,70","786,10","810,20","782,20","2,64M","2,37%"
"08.01.2020","788,00","777,60","797,00","775,30","2,69M","1,55%"
"06.01.2020","776,00","782,90","782,90","774,20","4,20M","-0,09%"
"03.01.2020","776,70","767,00","777,40","765,60","2,90M","2,24%"
